Active,Combined_Key,Confirmed,Country_Region,Deaths,Last_Update,Lat,Long_,Province_State,Recovered
29,"Barnwell, South Carolina, US",29,US,0,2020-05-08 02:32:32,33.26679302,-81.43584352,South Carolina,0
24,"Barren, Kentucky, US",24,US,0,2020-05-08 02:32:32,36.96469836,-85.93338945,Kentucky,0
7,"Barron, Wisconsin, US",7,US,0,2020-05-08 02:32:32,45.42372701,-91.84833627,Wisconsin,0
186,"Barrow, Georgia, US",191,US,5,2020-05-08 02:32:32,33.99148694,-83.71436292,Georgia,0
40,"Barry, Michigan, US",41,US,1,2020-05-08 02:32:32,42.59513984,-85.30834519,Michigan,0
6,"Barry, Missouri, US",6,US,0,2020-05-08 02:32:32,36.70978521,-93.82919888,Missouri,0
295,"Bartholomew, Indiana, US",316,US,21,2020-05-08 02:32:32,39.20744865,-85.89558181,Indiana,0
11,"Barton, Kansas, US",12,US,1,2020-05-08 02:32:32,38.47889676,-98.75636726,Kansas,0
328,"Bartow, Georgia, US",360,US,32,2020-05-08 02:32:32,34.23732119,-84.83887523,Georgia,0
105,"Bastrop, Texas, US",107,US,2,2020-05-08 02:32:32,30.10370699,-97.31206354,Texas,0
5,"Bates, Missouri, US",6,US,1,2020-05-08 02:32:32,38.25271289,-94.34113157,Missouri,0
3,"Bath, Kentucky, US",4,US,1,2020-05-08 02:32:32,38.14735938,-83.74588932,Kentucky,0
0,"Bath, Virginia, US",0,US,0,2020-05-08 02:32:32,38.05852573,-79.73912095,Virginia,0
5,"Baxter, Arkansas, US",5,US,0,2020-05-08 02:32:32,36.28784385,-92.33782872,Arkansas,0
73,"Bay, Florida, US",76,US,3,2020-05-08 02:32:32,30.26548745,-85.62122584,Florida,0
170,"Bay, Michigan, US",179,US,9,2020-05-08 02:32:32,43.70639106,-83.98731479,Michigan,0
2,"Bayfield, Wisconsin, US",3,US,1,2020-05-08 02:32:32,46.52868768,-91.19716729,Wisconsin,0
19,"Beadle, South Dakota, US",21,US,2,2020-05-08 02:32:32,44.41464384,-98.27858469,South Dakota,0
63,"Bear River, Utah, US",64,US,1,2020-05-08 02:32:32,41.52106798,-113.08328159999999,Utah,0
22,"Beaufort, North Carolina, US",22,US,0,2020-05-08 02:32:32,35.48531943,-76.84325809,North Carolina,0
257,"Beaufort, South Carolina, US",269,US,12,2020-05-08 02:32:32,32.39226291,-80.72619758,South Carolina,0
40,"Beauregard, Louisiana, US",44,US,4,2020-05-08 02:32:32,30.64836518,-93.34173616,Louisiana,0
17,"Beaver, Oklahoma, US",17,US,0,2020-05-08 02:32:32,36.7496847,-100.4758872,Oklahoma,0
394,"Beaver, Pennsylvania, US",472,US,78,2020-05-08 02:32:32,40.6825484,-80.34921611,Pennsylvania,0
1,"Beaverhead, Montana, US",1,US,0,2020-05-08 02:32:32,45.13434354,-112.89846940000001,Montana,0
18,"Becker, Minnesota, US",18,US,0,2020-05-08 02:32:32,46.93479392,-95.67158144,Minnesota,0
6,"Beckham, Oklahoma, US",6,US,0,2020-05-08 02:32:32,35.26862449,-99.68128023,Oklahoma,0
26,"Bedford, Pennsylvania, US",27,US,1,2020-05-08 02:32:32,40.00522157,-78.48998442,Pennsylvania,0
214,"Bedford, Tennessee, US",217,US,3,2020-05-08 02:32:32,35.51123746,-86.45549096,Tennessee,0
36,"Bedford, Virginia, US",37,US,1,2020-05-08 02:32:32,37.3080028,-79.5281964,Virginia,0
6,"Bee, Texas, US",6,US,0,2020-05-08 02:32:32,28.41761668,-97.74215593,Texas,0
42,"Belknap, New Hampshire, US",42,US,0,2020-05-08 02:32:32,43.51637314,-71.41684235,New Hampshire,0
210,"Bell, Texas, US",213,US,3,2020-05-08 02:32:32,31.03736027,-97.4785025,Texas,0
198,"Belmont, Ohio, US",205,US,7,2020-05-08 02:32:32,40.01625942,-80.9924051,Ohio,0
6,"Beltrami, Minnesota, US",6,US,0,2020-05-08 02:32:32,47.97373527,-94.93732139,Minnesota,0
38,"Ben Hill, Georgia, US",38,US,0,2020-05-08 02:32:32,31.76095874,-83.22145359,Georgia,0
52,"Bennington, Vermont, US",53,US,1,2020-05-08 02:32:32,43.03519828,-73.09048868,Vermont,0
2,"Benson, North Dakota, US",2,US,0,2020-05-08 02:32:32,48.0683985,-99.35916363,North Dakota,0
113,"Benton, Arkansas, US",113,US,0,2020-05-08 02:32:32,36.33644656,-94.25680817,Arkansas,0
12,"Benton, Indiana, US",12,US,0,2020-05-08 02:32:32,40.60626947,-87.31093999,Indiana,0
34,"Benton, Iowa, US",35,US,1,2020-05-08 02:32:32,42.08011739,-92.06463573,Iowa,0
63,"Benton, Minnesota, US",64,US,1,2020-05-08 02:32:32,45.69804958,-93.99514135,Minnesota,0
13,"Benton, Mississippi, US",13,US,0,2020-05-08 02:32:32,34.81681228,-89.18945516,Mississippi,0
8,"Benton, Missouri, US",8,US,0,2020-05-08 02:32:32,38.29503305,-93.28756116,Missouri,0
39,"Benton, Oregon, US",44,US,5,2020-05-08 02:32:32,44.49167306,-123.4316987,Oregon,0
6,"Benton, Tennessee, US",7,US,1,2020-05-08 02:32:32,36.07110411,-88.06849355,Tennessee,0
503,"Benton, Washington, US",550,US,47,2020-05-08 02:32:32,46.23946995,-119.51208340000001,Washington,0
4,"Benzie, Michigan, US",4,US,0,2020-05-08 02:32:32,44.63899297,-86.01608482,Michigan,0
15290,"Bergen, New Jersey, US",16609,US,1319,2020-05-08 02:32:32,40.96010917,-74.07164325,New Jersey,0
175,"Berkeley, South Carolina, US",189,US,14,2020-05-08 02:32:32,33.20222596,-79.94654523,South Carolina,0
170,"Berkeley, West Virginia, US",173,US,3,2020-05-08 02:32:32,39.46704621,-78.02414609,West Virginia,0
2927,"Berks, Pennsylvania, US",3095,US,168,2020-05-08 02:32:32,40.41570541,-75.92457766,Pennsylvania,0
427,"Berkshire, Massachusetts, US",464,US,37,2020-05-08 02:32:32,42.37428441,-73.20524838,Massachusetts,0
968,"Bernalillo, New Mexico, US",1012,US,44,2020-05-08 02:32:32,35.05163625,-106.6703554,New Mexico,0
19,"Berrien, Georgia, US",19,US,0,2020-05-08 02:32:32,31.27590016,-83.22529920000002,Georgia,0
333,"Berrien, Michigan, US",354,US,21,2020-05-08 02:32:32,41.95447397,-86.41313079999998,Michigan,0
55,"Bertie, North Carolina, US",57,US,2,2020-05-08 02:32:32,36.0688473,-76.96545943,North Carolina,0
1,"Bethel, Alaska, US",1,US,0,2020-05-08 02:32:32,60.90980451,-159.8561831,Alaska,0
1708,"Bexar, Texas, US",1761,US,53,2020-05-08 02:32:32,29.44928723,-98.52019748,Texas,0
44,"Bibb, Alabama, US",44,US,0,2020-05-08 02:32:32,32.99642064,-87.12511459999996,Alabama,0
365,"Bibb, Georgia, US",379,US,14,2020-05-08 02:32:32,32.80904227,-83.70489165,Georgia,0
62,"Bienville, Louisiana, US",78,US,16,2020-05-08 02:32:32,32.34569994,-93.05398492,Louisiana,0
3,"Big Horn, Montana, US",3,US,0,2020-05-08 02:32:32,45.42335905,-107.492347,Montana,0
3,"Big Horn, Wyoming, US",3,US,0,2020-05-08 02:32:32,44.52405055,-107.9960365,Wyoming,0
2,"Big Stone, Minnesota, US",2,US,0,2020-05-08 02:32:32,45.42712824,-96.41403739,Minnesota,0
4,"Bingham, Idaho, US",4,US,0,2020-05-08 02:32:32,43.21672879999999,-112.3978437,Idaho,0
1431,"Black Hawk, Iowa, US",1450,US,19,2020-05-08 02:32:32,42.4704581,-92.30524729,Iowa,0
11,"Blackford, Indiana, US",12,US,1,2020-05-08 02:32:32,40.47388153,-85.32499702,Indiana,0
45,"Bladen, North Carolina, US",45,US,0,2020-05-08 02:32:32,34.61296243,-78.56180059,North Carolina,0
494,"Blaine, Idaho, US",499,US,5,2020-05-08 02:32:32,43.4085812,-113.9752658,Idaho,0
2,"Blaine, Oklahoma, US",2,US,0,2020-05-08 02:32:32,35.87518314,-98.43307003,Oklahoma,0
28,"Blair, Pennsylvania, US",28,US,0,2020-05-08 02:32:32,40.47961444,-78.34917412,Pennsylvania,0
6,"Blanco, Texas, US",6,US,0,2020-05-08 02:32:32,30.26640707,-98.3999852,Texas,0
0,"Bland, Virginia, US",0,US,0,2020-05-08 02:32:32,37.13128068,-81.13599391,Virginia,0
22,"Bleckley, Georgia, US",22,US,0,2020-05-08 02:32:32,32.43829035,-83.33035166,Georgia,0
602,"Bledsoe, Tennessee, US",602,US,0,2020-05-08 02:32:32,35.59942968,-85.20611967,Tennessee,0
44,"Blount, Alabama, US",44,US,0,2020-05-08 02:32:32,33.98210918,-86.56790593,Alabama,0
66,"Blount, Tennessee, US",69,US,3,2020-05-08 02:32:32,35.68938198,-83.92847788,Tennessee,0
55,"Blue Earth, Minnesota, US",55,US,0,2020-05-08 02:32:32,44.03554215,-94.06699781,Minnesota,0
107,"Bolivar, Mississippi, US",115,US,8,2020-05-08 02:32:32,33.79696941,-90.87372121,Mississippi,0
4,"Bollinger, Missouri, US",4,US,0,2020-05-08 02:32:32,37.32449052,-90.02725304,Missouri,0
4,"Bon Homme, South Dakota, US",4,US,0,2020-05-08 02:32:32,42.98914167,-97.88592746,South Dakota,0
7,"Bond, Illinois, US",8,US,1,2020-05-08 02:32:32,38.88829622,-89.43534887,Illinois,0
4,"Bonner, Idaho, US",4,US,0,2020-05-08 02:32:32,48.29996017,-116.6017932,Idaho,0
28,"Bonneville, Idaho, US",28,US,0,2020-05-08 02:32:32,43.38713372,-111.6161537,Idaho,0
4,"Boone, Arkansas, US",4,US,0,2020-05-08 02:32:32,36.3084504,-93.09374925,Arkansas,0
157,"Boone, Illinois, US",168,US,11,2020-05-08 02:32:32,42.32359279,-88.82345779,Illinois,0
184,"Boone, Indiana, US",211,US,27,2020-05-08 02:32:32,40.0509304,-86.46841646,Indiana,0
33,"Boone, Iowa, US",33,US,0,2020-05-08 02:32:32,42.03657094,-93.9313999,Iowa,0
193,"Boone, Kentucky, US",197,US,4,2020-05-08 02:32:32,38.97065142,-84.72615357,Kentucky,0
97,"Boone, Missouri, US",98,US,1,2020-05-08 02:32:32,38.99186229,-92.30723575,Missouri,0
2,"Boone, Nebraska, US",2,US,0,2020-05-08 02:32:32,41.70759415,-98.06737183,Nebraska,0
6,"Boone, West Virginia, US",6,US,0,2020-05-08 02:32:32,38.01974191,-81.69888019,West Virginia,0
5,"Bosque, Texas, US",5,US,0,2020-05-08 02:32:32,31.89978581,-97.63613524,Texas,0
289,"Bossier, Louisiana, US",307,US,18,2020-05-08 02:32:32,32.67932307,-93.60460152,Louisiana,0
26,"Botetourt, Virginia, US",29,US,3,2020-05-08 02:32:32,37.55531756,-79.80982182,Virginia,0
671,"Boulder, Colorado, US",720,US,49,2020-05-08 02:32:32,40.09313619,-105.3546767,Colorado,0
0,"Boundary, Idaho, US",0,US,0,2020-05-08 02:32:32,48.76684761,-116.4630179,Idaho,0
5,"Bourbon, Kansas, US",6,US,1,2020-05-08 02:32:32,37.85508555,-94.84865997,Kansas,0
7,"Bourbon, Kentucky, US",8,US,1,2020-05-08 02:32:32,38.2054607,-84.21827874,Kentucky,0
74,"Bowie, Texas, US",76,US,2,2020-05-08 02:32:32,33.44626922,-94.41834132,Texas,0
1,"Bowman, North Dakota, US",1,US,0,2020-05-08 02:32:32,46.11285362,-103.5203343,North Dakota,0
1,"Box Butte, Nebraska, US",1,US,0,2020-05-08 02:32:32,42.22079243,-103.08788340000001,Nebraska,0
29,"Boyd, Kentucky, US",32,US,3,2020-05-08 02:32:32,38.36176608,-82.68652187,Kentucky,0
16,"Boyle, Kentucky, US",16,US,0,2020-05-08 02:32:32,37.62680923,-84.8633779,Kentucky,0
10,"Bracken, Kentucky, US",10,US,0,2020-05-08 02:32:32,38.69158994,-84.08532444,Kentucky,0
46,"Bradford, Florida, US",48,US,2,2020-05-08 02:32:32,29.95079741,-82.16611613,Florida,0
34,"Bradford, Pennsylvania, US",36,US,2,2020-05-08 02:32:32,41.78869215,-76.51570822,Pennsylvania,0
10,"Bradley, Arkansas, US",11,US,1,2020-05-08 02:32:32,33.46755808,-92.15980837,Arkansas,0
63,"Bradley, Tennessee, US",64,US,1,2020-05-08 02:32:32,35.15739424,-84.857186,Tennessee,0
71,"Branch, Michigan, US",73,US,2,2020-05-08 02:32:32,41.91600556,-85.05929476,Michigan,0
21,"Brantley, Georgia, US",23,US,2,2020-05-08 02:32:32,31.19576557,-81.97743999,Georgia,0
2,"Braxton, West Virginia, US",2,US,0,2020-05-08 02:32:32,38.70036159,-80.72011184,West Virginia,0
