checkTimeEt,commercialScore,dataGrade,dataQualityGrade,dateChecked,dateModified,death,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,inIcuCumulative,inIcuCurrently,lastUpdateEt,negative,negativeRegularScore,negativeScore,onVentilatorCumulative,onVentilatorCurrently,pending,posNeg,positive,positiveScore,recovered,score,state,total,totalTestResults
5/05 16:05,1.0,A,B,2020-05-05T20:05:00Z,2020-05-05T14:26:00Z,52,50,,,33.0,,2.0,5/05 10:26,16611,1.0,1.0,,0.0,,17518,907,1.0,,4.0,VT,17518,17518
5/05 16:11,1.0,C,B,2020-05-05T20:11:00Z,2020-05-04T06:59:00Z,841,53,,,292.0,,102.0,5/04 02:59,200858,0.0,1.0,,,,216320,15462,0.0,,2.0,WA,216320,216320
5/05 16:49,1.0,A,A+,2020-05-05T20:49:00Z,2020-05-05T04:00:00Z,353,55,1663.0,1663.0,543.0,414.0,92.0,5/05 00:00,83967,1.0,1.0,,,236.0,92533,8566,1.0,4131.0,4.0,WI,92769,92533
5/05 15:36,0.0,B,C,2020-05-05T19:36:00Z,2020-05-05T14:00:00Z,50,54,,,64.0,,23.0,5/05 10:00,53585,1.0,1.0,,12.0,,54823,1238,1.0,630.0,3.0,WV,54823,54823
5/05 15:36,1.0,A,C,2020-05-05T19:36:00Z,2020-05-04T21:02:00Z,7,56,60.0,60.0,13.0,,,5/04 17:02,10319,1.0,1.0,,,,10915,596,1.0,405.0,4.0,WY,10915,10915
5/05 15:30,1.0,A,D,2020-05-05T19:30:00Z,2020-05-05T10:00:00Z,99,72,,,,,,5/05 06:00,9313,1.0,1.0,,,,11237,1924,1.0,,4.0,PR,11237,11237
5/05 16:37,,,F,2020-05-05T20:37:00Z,2020-05-03T04:00:00Z,0,60,,,,,,5/03 00:00,83,,,,,,83,0,,,,AS,83,83
5/05 14:21,,,F,2020-05-05T18:21:00Z,2020-05-05T13:00:00Z,5,66,,,,,,5/05 09:00,3341,,,,,,3490,149,,124.0,,GU,3490,3490
5/05 14:52,,,D,2020-05-05T18:52:00Z,2020-05-05T04:00:00Z,2,69,,,,,,5/05 00:00,1783,,,,,,1797,14,,12.0,,MP,1797,1797
5/05 16:00,,,C,2020-05-05T20:00:00Z,2020-05-05T00:30:00Z,4,78,,,,,,5/04 20:30,973,,,,,34.0,1039,66,,51.0,,VI,1073,1039
