checkTimeEt,commercialScore,dataGrade,dataQualityGrade,dateChecked,dateModified,death,fips,hospitalized,hospitalizedCumulative,hospitalizedCurrently,inIcuCumulative,inIcuCurrently,lastUpdateEt,negative,negativeRegularScore,negativeScore,onVentilatorCumulative,onVentilatorCurrently,pending,posNeg,positive,positiveScore,recovered,score,state,total,totalTestResults
5/13 14:41,1.0,B,B,2020-05-13T18:41:00Z,2020-05-13T18:00:00Z,1483,39,4618.0,4618.0,924.0,1248.0,353.0,5/13 14:00,200133.0,0.0,1.0,,244.0,,225854,25721,1.0,,3.0,OH,225854,225854
5/13 16:51,1.0,B,A+,2020-05-13T20:51:00Z,2020-05-13T04:00:00Z,278,40,848.0,848.0,218.0,,93.0,5/13 00:00,104275.0,0.0,1.0,,,,109127,4852,1.0,3559.0,3.0,OK,109127,109127
5/13 16:55,1.0,A,A+,2020-05-13T20:55:00Z,2020-05-13T15:00:00Z,134,41,678.0,678.0,162.0,,38.0,5/13 11:00,80571.0,1.0,1.0,,17.0,,83987,3416,1.0,1406.0,4.0,OR,83987,83987
5/13 15:22,1.0,A,C,2020-05-13T19:22:00Z,2020-05-13T04:00:00Z,3943,42,,,2012.0,,,5/13 00:00,244171.0,1.0,1.0,,473.0,,302869,58698,1.0,,4.0,PA,302869,302869
5/13 16:32,0.0,B,A+,2020-05-13T20:32:00Z,2020-05-13T16:00:00Z,462,44,1328.0,1328.0,269.0,,68.0,5/13 12:00,86087.0,1.0,1.0,,48.0,,97922,11835,1.0,886.0,3.0,RI,97922,97922
5/13 16:35,0.0,B,A,2020-05-13T20:35:00Z,2020-05-12T20:14:00Z,355,45,1338.0,1338.0,,,,5/12 16:14,85213.0,1.0,1.0,,,,93140,7927,1.0,6817.0,3.0,SC,93140,93140
5/13 15:32,1.0,A,B,2020-05-13T19:32:00Z,2020-05-13T15:30:00Z,39,46,281.0,281.0,79.0,,,5/13 11:30,22112.0,1.0,1.0,,,,25844,3732,1.0,2367.0,4.0,SD,25844,25844
5/13 16:33,1.0,A,A,2020-05-13T20:33:00Z,2020-05-13T19:00:00Z,273,47,1388.0,1388.0,,,,5/13 15:00,276547.0,1.0,1.0,,,,292917,16370,1.0,8624.0,4.0,TN,292917,292917
5/13 16:50,1.0,A,A,2020-05-13T20:50:00Z,2020-05-13T20:20:00Z,1158,48,,,1676.0,,,5/13 16:20,545028.0,1.0,1.0,,,,587431,42403,1.0,23519.0,4.0,TX,587431,587431
5/13 16:22,1.0,A,B,2020-05-13T20:22:00Z,2020-05-13T19:00:00Z,75,49,553.0,553.0,158.0,182.0,,5/13 15:00,150166.0,1.0,1.0,81.0,,,156786,6620,1.0,3406.0,4.0,UT,156786,156786
5/13 16:19,1.0,A,A+,2020-05-13T20:19:00Z,2020-05-12T21:00:00Z,927,51,5080.0,5080.0,1526.0,,374.0,5/12 17:00,134646.0,1.0,1.0,,202.0,485.0,161392,26746,1.0,3554.0,4.0,VA,161877,161392
5/13 15:59,1.0,A,B,2020-05-13T19:59:00Z,2020-05-13T04:00:00Z,53,50,,,17.0,,,5/13 00:00,20747.0,1.0,1.0,,,,21676,929,1.0,789.0,4.0,VT,21676,21676
5/13 15:53,1.0,C,A,2020-05-13T19:53:00Z,2020-05-12T06:59:00Z,962,53,,,384.0,,114.0,5/12 02:59,238991.0,0.0,1.0,,,,256321,17330,0.0,,2.0,WA,256321,256321
5/13 15:56,1.0,A,A+,2020-05-13T19:56:00Z,2020-05-13T04:00:00Z,421,55,1908.0,1908.0,527.0,469.0,110.0,5/13 00:00,117111.0,1.0,1.0,,,194.0,128013,10902,1.0,5673.0,4.0,WI,128207,128013
5/13 15:48,0.0,B,B,2020-05-13T19:48:00Z,2020-05-13T14:00:00Z,58,54,,,58.0,,11.0,5/13 10:00,65282.0,1.0,1.0,,6.0,,66680,1398,1.0,813.0,3.0,WV,66680,66680
5/13 16:27,1.0,A,B,2020-05-13T20:27:00Z,2020-05-12T19:50:00Z,7,56,67.0,67.0,10.0,,,5/12 15:50,14384.0,1.0,1.0,,,,15059,675,1.0,477.0,4.0,WY,15059,15059
5/13 16:36,1.0,A,C,2020-05-13T20:36:00Z,2020-05-12T10:30:00Z,115,72,,,,,10.0,5/12 06:30,,1.0,1.0,,6.0,,2329,2329,1.0,,4.0,PR,2329,2329
5/13 15:22,,,C,2020-05-13T19:22:00Z,2020-05-10T04:00:00Z,0,60,,,,,,5/10 00:00,105.0,,,,,,105,0,,,,AS,105,105
5/13 14:32,,,C,2020-05-13T18:32:00Z,2020-05-13T11:55:00Z,5,66,,,,,,5/13 07:55,4110.0,,,,,,4262,152,,124.0,,GU,4262,4262
5/13 14:44,,,D,2020-05-13T18:44:00Z,2020-05-13T04:00:00Z,2,69,,,,,,5/13 00:00,3021.0,,,,,,3040,19,,12.0,,MP,3040,3040
5/13 16:23,,,C,2020-05-13T20:23:00Z,2020-05-12T22:22:00Z,6,78,,,,,,5/12 18:22,1128.0,,,,,62.0,1197,69,,61.0,,VI,1259,1197
