"DATERECORDED","STATE","POSITIVE","NEGATIVE","TEST_TOTAL","DEATH","DELIVERIES","COST","WEIGHT",
2020-05-09 00:00:00,"ND",1464,42469,43933,35,99,123759.22,4076,
2020-05-10 00:00:00,"ND",1491,43378,44869,35,99,123759.22,4076,
2020-05-11 00:00:00,"ND",1518,45496,47014,36,101,130269.19,4563,
2020-05-06 00:00:00,"NE",6438,29690,36128,82,6,1641.2,335,
2020-05-07 00:00:00,"NE",6771,30987,37758,86,8,3832.9,755,
2020-05-08 00:00:00,"NE",7190,33222,40412,90,41,138642.54,2196,
2020-05-09 00:00:00,"NE",7831,35145,42976,92,41,138642.54,2196,
2020-05-10 00:00:00,"NE",8234,37335,45569,96,41,138642.54,2196,
2020-05-11 00:00:00,"NE",8315,37924,46239,98,44,145397.78,2438,
2020-05-06 00:00:00,"NH",2636,25097,27812,92,1,109.26,25,
2020-05-07 00:00:00,"NH",2740,26066,29151,111,2,1205.11,235,
2020-05-08 00:00:00,"NH",2843,27829,31204,114,2,1205.11,235,
2020-05-09 00:00:00,"NH",2947,29351,32602,121,2,1205.11,235,
2020-05-10 00:00:00,"NH",3011,30442,33965,131,2,1205.11,235,
2020-05-11 00:00:00,"NH",3160,31723,35144,133,2,1205.11,235,
2020-05-06 00:00:00,"NJ",131890,157030,289514,8549,38,308485.43,2909,
2020-05-07 00:00:00,"NJ",133635,159023,293210,8801,42,312868.83,3749,
2020-05-08 00:00:00,"NJ",135454,163305,299312,8952,104,674548.29,9328,
2020-05-09 00:00:00,"NJ",137085,168121,305763,9116,104,674548.29,9328,
2020-05-10 00:00:00,"NJ",138532,173915,313038,9255,104,674548.29,9328,
2020-05-11 00:00:00,"NJ",139945,285988,425933,9310,104,674548.29,9328,
2020-05-06 00:00:00,"NM",4138,79113,83251,162,2,218.04,65,
2020-05-07 00:00:00,"NM",4291,81393,85684,169,3,1313.89,275,
2020-05-08 00:00:00,"NM",4493,84539,89032,172,4,2409.74,485,
2020-05-09 00:00:00,"NM",4673,88589,93262,181,4,2409.74,485,
2020-05-10 00:00:00,"NM",4778,92275,97053,191,4,2409.74,485,
2020-05-11 00:00:00,"NM",4863,97635,102498,200,4,2409.74,485,
2020-05-06 00:00:00,"NV",5663,43612,49275,276,4,1423.16,285,
2020-05-07 00:00:00,"NV",5766,45591,51357,286,6,3614.86,705,
2020-05-08 00:00:00,"NV",5884,47460,53344,293,36,191740.94,7081,
2020-05-09 00:00:00,"NV",6028,50083,56111,301,36,191740.94,7081,
2020-05-10 00:00:00,"NV",6098,52711,58809,306,36,191740.94,7081,
2020-05-11 00:00:00,"NV",6152,53932,60084,306,37,191791.82,7087,
2020-05-06 00:00:00,"NY",321192,707707,1028899,19877,213,1486958.42,26119,
2020-05-07 00:00:00,"NY",327649,762267,1089916,20828,225,1500108.62,28639,
2020-05-08 00:00:00,"NY",330407,791136,1121543,21045,333,1723222.06,35086,
2020-05-09 00:00:00,"NY",333122,820646,1153768,21271,333,1723222.06,35086,
2020-05-10 00:00:00,"NY",335395,847603,1182998,21478,333,1723222.06,35086,
2020-05-11 00:00:00,"NY",337055,867596,1204651,21640,342,1733331.07,35640,
2020-05-06 00:00:00,"OH",21576,147353,168929,1225,66,25947.99,3935,
2020-05-07 00:00:00,"OH",22131,153928,176059,1271,74,34714.79,5615,
2020-05-08 00:00:00,"OH",23016,161300,184316,1306,272,1216758.53,25331,
2020-05-09 00:00:00,"OH",23697,172973,196670,1331,272,1216758.53,25331,
2020-05-10 00:00:00,"OH",24081,180781,204862,1341,272,1216758.53,25331,
2020-05-11 00:00:00,"OH",24777,185753,210530,1357,272,1216758.53,25331,
2020-05-06 00:00:00,"OK",4201,78689,82890,253,25,10623.56,1825,
2020-05-07 00:00:00,"OK",4330,82557,86887,260,29,15006.96,2665,
2020-05-08 00:00:00,"OK",4424,85433,89857,266,192,493740.72,11705,
2020-05-09 00:00:00,"OK",4490,91379,95869,270,192,493740.72,11705,
2020-05-10 00:00:00,"OK",4589,91379,95968,272,192,493740.72,11705,
2020-05-11 00:00:00,"OK",4613,91379,95992,274,194,498850.47,11717,
2020-05-06 00:00:00,"OR",2916,65060,67976,115,11,5147.54,920,
2020-05-07 00:00:00,"OR",2989,67469,70458,121,12,6243.39,1130,
2020-05-08 00:00:00,"OR",3068,69625,72693,124,67,167447.69,3309,
2020-05-09 00:00:00,"OR",3160,71460,74620,127,67,167447.69,3309,
2020-05-10 00:00:00,"OR",3228,72279,75507,127,67,167447.69,3309,
2020-05-11 00:00:00,"OR",3286,74320,77606,130,67,167447.69,3309,
2020-05-06 00:00:00,"PA",51845,204495,256340,3106,30,23975.78,2226,
2020-05-07 00:00:00,"PA",52915,209873,262788,3416,39,33838.43,4116,
2020-05-08 00:00:00,"PA",54238,216321,270559,3616,184,534277.85,10212,
2020-05-09 00:00:00,"PA",55316,221791,277107,3688,184,534277.85,10212,
2020-05-10 00:00:00,"PA",56611,227772,284383,3707,184,534277.85,10212,
2020-05-11 00:00:00,"PA",57154,231704,288858,3731,190,545646.38,11731,
2020-05-06 00:00:00,"PR",1968,,1968,99,62,131317.71,26443,
2020-05-07 00:00:00,"PR",2031,,2031,102,63,132413.56,26653,
2020-05-08 00:00:00,"PR",2156,,2156,107,182,1049000.74,133329,
2020-05-09 00:00:00,"PR",2173,,2173,108,182,1049000.74,133329,
2020-05-10 00:00:00,"PR",2198,,2198,111,182,1049000.74,133329,
2020-05-11 00:00:00,"PR",2256,,2256,113,185,1054116.93,133920,
2020-05-06 00:00:00,"RI",10205,69168,79373,370,3,1314.37,265,
2020-05-07 00:00:00,"RI",10530,71788,82318,388,3,1314.37,265,
