DateRecorded,Country,State,City,Confirmed,Deaths,Recovered,Active,Latitude,Longitude
05/05/2020,US,Iowa,Bremer,55,5,0,50,42.77461496,-92.31795937
05/05/2020,US,Florida,Brevard,319,8,0,311,28.29409504,-80.73091022
05/05/2020,US,Texas,Brewster,1,0,0,1,29.81008251,-103.2520326
05/05/2020,US,Texas,Briscoe,1,0,0,1,34.53026962,-101.2084947
05/05/2020,US,Massachusetts,Bristol,4235,210,0,4025,41.79228404,-71.10872211
05/05/2020,US,Rhode Island,Bristol,154,0,0,154,41.71018079,-71.28652315
05/05/2020,US,Virginia,Bristol,2,0,0,2,36.6163024,-82.16359122
05/05/2020,US,Montana,Broadwater,4,0,0,4,46.33277565,-111.4955813
05/05/2020,US,West Virginia,Brooke,3,0,0,3,40.27367263,-80.57915332
05/05/2020,US,South Dakota,Brookings,13,0,0,13,44.36974375,-96.79079945
05/05/2020,US,Georgia,Brooks,63,7,0,56,30.83922642,-83.58303423
05/05/2020,US,Texas,Brooks,1,0,0,1,27.03103197,-98.21808402
05/05/2020,US,New York,Broome,338,22,0,316,42.15903158,-75.81326086
05/05/2020,US,Colorado,Broomfield,178,16,0,162,39.95998787,-105.0566324
05/05/2020,US,Florida,Broward,5492,215,0,5277,26.15184651,-80.48725556
05/05/2020,US,Illinois,Brown,2,0,0,2,39.96209138,-90.75068024
05/05/2020,US,Indiana,Brown,18,1,0,17,39.19605589,-86.22868909
05/05/2020,US,Kansas,Brown,1,0,0,1,39.82652589,-95.56421698
05/05/2020,US,Minnesota,Brown,9,1,0,8,44.24205652,-94.72562874
05/05/2020,US,Ohio,Brown,13,1,0,12,38.93416837,-83.86788395
05/05/2020,US,South Dakota,Brown,71,0,0,71,45.58994323,-98.35165355
05/05/2020,US,Texas,Brown,38,6,0,32,31.77430356,-98.99907113
05/05/2020,US,Wisconsin,Brown,1545,9,0,1536,44.4526553,-88.00411844
05/05/2020,US,South Dakota,Brule,0,0,0,0,43.71756379,-99.08118954
05/05/2020,US,North Carolina,Brunswick,50,2,0,48,34.070565,-78.22814204
05/05/2020,US,Virginia,Brunswick,15,0,0,15,36.76366949,-77.8593436
05/05/2020,US,Georgia,Bryan,56,4,0,52,32.00979311,-81.44002948
05/05/2020,US,Oklahoma,Bryan,9,1,0,8,33.96472458,-96.25903472
05/05/2020,US,Iowa,Buchanan,22,0,0,22,42.4709188,-91.83510825
05/05/2020,US,Missouri,Buchanan,369,2,0,367,39.65816401,-94.80138942
05/05/2020,US,Virginia,Buchanan,16,0,0,16,37.26818323,-82.03749726
05/05/2020,US,Virginia,Buckingham,171,0,0,171,37.57242268,-78.52518834
05/05/2020,US,Pennsylvania,Bucks,3505,280,0,3225,40.33682119,-75.10836643
05/05/2020,US,Iowa,Buena Vista,15,0,0,15,42.73545875,-95.15100162
05/05/2020,US,Virginia,Buena Vista,6,0,0,6,37.73484642,-79.35296097
05/05/2020,US,Nebraska,Buffalo,116,1,0,115,40.85486962,-99.07500296
05/05/2020,US,South Dakota,Buffalo,1,0,0,1,44.07657829,-99.20814467
05/05/2020,US,Wisconsin,Buffalo,6,1,0,5,44.37835084,-91.75332578
05/05/2020,US,Kentucky,Bullitt,68,2,0,66,37.97162523,-85.68955617
05/05/2020,US,Georgia,Bulloch,43,2,0,41,32.39577406,-81.74811421
05/05/2020,US,Alabama,Bullock,18,0,0,18,32.10030533,-85.71265535
05/05/2020,US,North Carolina,Buncombe,78,5,0,73,35.61113393,-82.53305
05/05/2020,US,Illinois,Bureau,12,1,0,11,41.40385234,-89.5283051
05/05/2020,US,Georgia,Burke,88,3,0,85,33.05917989,-81.99928721
05/05/2020,US,North Carolina,Burke,117,9,0,108,35.74989637,-81.70755735
05/05/2020,US,North Dakota,Burke,5,0,0,5,48.79094471,-102.5182117
05/05/2020,US,North Dakota,Burleigh,92,0,0,92,46.97847375,-100.4645214
