DateRecorded,State,CountyName,Population,Population20Plus,Population65Plus,StaffedAllBeds,StaffedICUBeds,LicensedAllBeds
05/07/2020,AR,Hempstead,21741.0,15617.0,3905.0,67.0,8.0,79.0
05/07/2020,AR,Hot Spring,33701.0,26060.0,6369.0,64.0,6.0,100.0
05/07/2020,AR,Howard,13341.0,9571.0,2394.0,25.0,0.0,25.0
05/07/2020,AR,Independence,37678.0,27559.0,6603.0,184.0,12.0,235.0
05/07/2020,AR,Izard,13593.0,10904.0,3506.0,25.0,0.0,25.0
05/07/2020,AR,Jackson,16811.0,13124.0,3051.0,0.0,0.0,133.0
05/07/2020,AR,Jefferson,68114.0,50908.0,11777.0,271.0,34.0,498.0
05/07/2020,AR,Johnson,26742.0,19307.0,4400.0,57.0,8.0,90.0
05/07/2020,AR,Lawrence,16434.0,12340.0,3242.0,25.0,0.0,25.0
05/07/2020,AR,Little River,12326.0,9329.0,2589.0,25.0,0.0,25.0
05/07/2020,AR,Logan,21737.0,16527.0,4315.0,40.0,0.0,41.0
05/07/2020,AR,Miller,43592.0,32340.0,7364.0,50.0,0.0,62.0
05/07/2020,AR,Mississippi,41239.0,29460.0,6100.0,58.0,5.0,124.0
05/07/2020,AR,Ouachita,23606.0,17824.0,4810.0,82.0,8.0,98.0
05/07/2020,AR,Phillips,18029.0,12940.0,3426.0,127.0,6.0,155.0
05/07/2020,AR,Polk,20049.0,15034.0,4611.0,41.0,6.0,65.0
05/07/2020,AR,Pope,64000.0,46754.0,10081.0,137.0,11.0,170.0
05/07/2020,AR,Pulaski,392680.0,293087.0,61075.0,3660.0,281.0,4502.0
05/07/2020,AR,Randolph,17948.0,13318.0,3579.0,32.0,2.0,50.0
05/07/2020,AR,Saline,121421.0,90695.0,21564.0,207.0,16.0,257.0
05/07/2020,AR,Scott,10319.0,7718.0,2152.0,24.0,0.0,24.0
05/07/2020,AR,Sebastian,127753.0,94146.0,20504.0,575.0,31.0,1105.0
05/07/2020,AR,Sevier,17139.0,11814.0,2493.0,0.0,0.0,35.0
05/07/2020,AR,St. Francis,25439.0,19532.0,4122.0,56.0,6.0,118.0
05/07/2020,AR,Stone,12457.0,9836.0,3416.0,25.0,0.0,25.0
05/07/2020,AR,Union,39126.0,28853.0,7017.0,111.0,16.0,166.0
05/07/2020,AR,Van Buren,16603.0,12947.0,4325.0,0.0,0.0,25.0
05/07/2020,AR,Washington,236961.0,169641.0,27809.0,870.0,61.0,1161.0
05/07/2020,AR,White,78727.0,57777.0,12932.0,232.0,13.0,465.0
05/07/2020,AR,Yell,21535.0,15738.0,3829.0,55.0,0.0,76.0
05/07/2020,AZ,Apache,71818.0,50183.0,10986.0,162.0,0.0,162.0
05/07/2020,AZ,Cochise,126770.0,95796.0,28326.0,135.0,12.0,160.0
05/07/2020,AZ,Coconino,142854.0,104361.0,17855.0,356.0,41.0,378.0
05/07/2020,AZ,Gila,53889.0,42061.0,15506.0,50.0,8.0,50.0
05/07/2020,AZ,Graham,38072.0,26539.0,5310.0,57.0,0.0,176.0
05/07/2020,AZ,La Paz,21098.0,17207.0,8287.0,45.0,3.0,45.0
05/07/2020,AZ,Maricopa,4410824.0,3241332.0,669285.0,10140.0,922.0,11872.0
05/07/2020,AZ,Mohave,209550.0,170170.0,63526.0,551.0,80.0,610.0
05/07/2020,AZ,Navajo,110445.0,78159.0,20010.0,176.0,12.0,188.0
05/07/2020,AZ,Pima,1039073.0,790296.0,205255.0,2750.0,296.0,3326.0
05/07/2020,AZ,Pinal,447138.0,336222.0,91129.0,401.0,24.0,401.0
